Board,Level,Subject,Syllabus,PP,Dates
AQA,A Level,Computing,https://www.aqa.org.uk/subjects/computer-science-and-it/as-and-a-level/computer-science-7516-7517/specification-at-a-glance,https://www.aqa.org.uk/subjects/computer-science-and-it/as-and-a-level/computer-science-7516-7517/assessment-resources?f.Resource+type%7C6=Question+papers&f.Resource+type%7C6=Mark+schemes,https://www.aqa.org.uk/subjects/computer-science-and-it/as-and-a-level/computer-science-7516-7517/key-dates
AQA,GCSE,Computing,https://www.aqa.org.uk/subjects/computer-science-and-it/gcse/computer-science-8520/specification-at-a-glance,https://www.aqa.org.uk/subjects/computer-science-and-it/gcse/computer-science-8520/assessment-resources?f.Resource+type%7C6=Question+papers&f.Resource+type%7C6=Mark+schemes,https://www.aqa.org.uk/subjects/computer-science-and-it/gcse/computer-science-8520/key-dates
